WINTER,CLOSED,OPENED,YEAR1,CLOSEDDATE,OPENEDDATE,DURATION
1920-21,25-Dec,16-Mar,1920,1920-12-25,1921-03-16,81 days 00:00:00.000000000
1921-22,25-Dec,31-Mar,1921,1921-12-25,1922-03-31,96 days 00:00:00.000000000
1922-23,16-Dec,20-Apr,1922,1922-12-16,1923-04-20,125 days 00:00:00.000000000
1923-24,1-Jan,14-Apr,1923,1924-01-01,1924-04-14,104 days 00:00:00.000000000
1924-25,19-Dec,3-Apr,1924,1924-12-19,1925-04-03,105 days 00:00:00.000000000
1925-26,16-Dec,19-Apr,1925,1925-12-16,1926-04-19,124 days 00:00:00.000000000
1926-27,6-Dec,19-Mar,1926,1926-12-06,1927-03-19,103 days 00:00:00.000000000
1927-28,17-Dec,1-Apr,1927,1927-12-17,1928-04-01,106 days 00:00:00.000000000
1928-29,21-Dec,27-Mar,1928,1928-12-21,1929-03-27,96 days 00:00:00.000000000
1929-30,3-Dec,20-Mar,1929,1929-12-03,1930-03-20,107 days 00:00:00.000000000
1930-31,16-Dec,24-Mar,1930,1930-12-16,1931-03-24,98 days 00:00:00.000000000
1931-32,30-Jan,4-Apr,1931,1932-01-30,1932-04-04,65 days 00:00:00.000000000
1932-33,10-Dec,4-Apr,1932,1932-12-10,1933-04-04,115 days 00:00:00.000000000
1933-34,25-Dec,26-Mar,1933,1933-12-25,1934-03-26,91 days 00:00:00.000000000
1934-35,24-Dec,28-Mar,1934,1934-12-24,1935-03-28,94 days 00:00:00.000000000
1935-36,20-Dec,30-Mar,1935,1935-12-20,1936-03-30,101 days 00:00:00.000000000
1936-37,7-Dec,30-Dec,1936,1936-12-07,1936-12-30,23 days 00:00:00.000000000
1936-37,5-Jan,13-Apr,1936,1937-01-05,1937-04-13,98 days 00:00:00.000000000
1937-38,7-Dec,22-Mar,1937,1937-12-07,1938-03-22,105 days 00:00:00.000000000
1938-39,28-Dec,4-Apr,1938,1938-12-28,1939-04-04,97 days 00:00:00.000000000
1939-40,2-Jan,16-Apr,1939,1940-01-02,1940-04-16,105 days 00:00:00.000000000
1940-41,5-Jan,11-Apr,1940,1941-01-05,1941-04-11,96 days 00:00:00.000000000
1941-42,3-Jan,26-Mar,1941,1942-01-03,1942-03-26,82 days 00:00:00.000000000
1942-43,7-Dec,2-Apr,1942,1942-12-07,1943-04-02,116 days 00:00:00.000000000
1943-44,16-Dec,8-Apr,1943,1943-12-16,1944-04-08,114 days 00:00:00.000000000
1944-45,18-Dec,20-Mar,1944,1944-12-18,1945-03-20,92 days 00:00:00.000000000
1945-46,13-Dec,21-Mar,1945,1945-12-13,1946-03-21,98 days 00:00:00.000000000
1946-47,30-Dec,10-Apr,1946,1946-12-30,1947-04-10,101 days 00:00:00.000000000
1947-48,21-Dec,3-Apr,1947,1947-12-21,1948-04-03,104 days 00:00:00.000000000
1948-49,24-Dec,30-Mar,1948,1948-12-24,1949-03-30,96 days 00:00:00.000000000
1949-50,23-Dec,11-Apr,1949,1949-12-23,1950-04-11,109 days 00:00:00.000000000
1950-51,11-Dec,12-Apr,1950,1950-12-11,1951-04-12,122 days 00:00:00.000000000
1951-52,16-Dec,8-Apr,1951,1951-12-16,1952-04-08,114 days 00:00:00.000000000
1952-53,30-Dec,21-Mar,1952,1952-12-30,1953-03-21,81 days 00:00:00.000000000
1953-54,30-Dec,25-Mar,1953,1953-12-30,1954-03-25,85 days 00:00:00.000000000
1954-55,2-Jan,4-Apr,1954,1955-01-02,1955-04-04,92 days 00:00:00.000000000
1955-56,12-Dec,4-Apr,1955,1955-12-12,1956-04-04,114 days 00:00:00.000000000
1956-57,14-Dec,4-Apr,1956,1956-12-14,1957-04-04,111 days 00:00:00.000000000
1957-58,30-Dec,4-Apr,1957,1957-12-30,1958-04-04,95 days 00:00:00.000000000
1958-59,9-Dec,14-Apr,1958,1958-12-09,1959-04-14,126 days 00:00:00.000000000
1959-60,29-Dec,12-Apr,1959,1959-12-29,1960-04-12,105 days 00:00:00.000000000
1960-61,19-Dec,6-Apr,1960,1960-12-19,1961-04-06,108 days 00:00:00.000000000
1961-62,16-Dec,12-Apr,1961,1961-12-16,1962-04-12,117 days 00:00:00.000000000
